Удалить всех участников в группе Telegram,5000,https://kwork.ru/projects/1352723
Настроить сайт на wordpress. Автозаполнение+перевод,20000,https://kwork.ru/projects/1352718
Допилить фикс багов+Новые функции,9000,https://kwork.ru/projects/1352707
Поставить скрипт на VDS,1200,https://kwork.ru/projects/1352615
Телеграмм скрипт,2000,https://kwork.ru/projects/1352612
Скрипт - Выгрузка данных из OZON API в гугл таблицы,5000,https://kwork.ru/projects/1352556
Программа для перемещения данных из резюме,10000,https://kwork.ru/projects/1352486
Написать скрипт для перевода изображений в swg,1000,https://kwork.ru/projects/1352440
Подключить Юкассу на битрикс,1000,https://kwork.ru/projects/1352491
Написать скрипт-парсер,10000,https://kwork.ru/projects/1352401
Программа для автоматической отправки CTRL + C,1000,https://kwork.ru/projects/1352355
Редактирование готового скрипт-мода для GTA 4,2000,https://kwork.ru/projects/1352335
Спарсить сайт и залить на DLE,2000,https://kwork.ru/projects/1352319
Парсинг телеграм каналов гео Латвия,до500,https://kwork.ru/projects/1352314
Разработать скрипт запроса по API PHP,3000,https://kwork.ru/projects/1352269
Собрать данные сайтов через similarweb или spymetrics,2000,https://kwork.ru/projects/1352254
Улучшить магазин trendo.kz Opencart,6000,https://kwork.ru/projects/1352216
Написать POST-GET регистратор аккаунтов для сайта,2000,https://kwork.ru/projects/1352214
Установка сайта с партнерской программой,15000,https://kwork.ru/projects/1352176
"Помочь установить скрипт на удаленный сервер, удал. ком",до500,https://kwork.ru/projects/1213249
Исправить софт на python для работы через API,10000,https://kwork.ru/projects/1352166
Скрипт для поднятие прокси IPV6 с ротации,2000,https://kwork.ru/projects/1352060
Сделать договор,до500,https://kwork.ru/projects/1352041
Парсер объявлений фб,3000,https://kwork.ru/projects/1352010
Нужен сборщик бесплатных работающих Прокси,3000,https://kwork.ru/projects/1351937
"Переверстать  сайт по шаблону, на wordpress",5000,https://kwork.ru/projects/1351919
Поднятие туннельных прокси IPv6,2000,https://kwork.ru/projects/1351911
Тз по настройке импорта товара php YII2,10000,https://kwork.ru/projects/1351882
Сделать не сложный сайт,50000,https://kwork.ru/projects/1351835
Доработать парсер сайта,2000,https://kwork.ru/projects/1351825
Парсинг товаров и цен,до500,https://kwork.ru/projects/1351800
Чат-бот для авто ответов на авито,2000,https://kwork.ru/projects/1351752
Скрипт,20000,https://kwork.ru/projects/1351703
Скачать лендинг wget-ом,до500,https://kwork.ru/projects/1351639
Скрипт продаж автострахование,3000,https://kwork.ru/projects/1351619
Настроить передачу конверсий в Keitaro,1000,https://kwork.ru/projects/1351582
Парсинг Online TV,8000,https://kwork.ru/projects/1351556
Внести правки на сайт + добавить карусель фотографий,до500,https://kwork.ru/projects/1351439
Python скрипт для перевода средств,до500,https://kwork.ru/projects/1351378
Прозвонить базу дизайнеров на предмет сотрудничества,1000,https://kwork.ru/projects/1351353
Сделать парсер файлов с файлообменников,5000,https://kwork.ru/projects/1351299
Простой парсер на РНР,до500,https://kwork.ru/projects/1351246
Менеджер для Инстаграм аккаунта. Украина,60000,https://kwork.ru/projects/1351136
Написать API скрипт получения остатков,1000,https://kwork.ru/projects/1351189
Доступ к серверу по токену c# winforms,2000,https://kwork.ru/projects/1351127
